id,education_type,first_name,last_name,major,neptune
859,Correspondence,Pip,Errigo,Computer Engineering,4Z2W8B
860,Part Time,Phylys,Goare,Business Comp Sci,6H7C4W
861,Correspondence,Cliff,Tipler,Computer Engineering,0Z3E0K
862,Full Time,Salomi,Stirrup,Computer Science,0L4X2T
863,Correspondence,Rickie,Ruslin,Computer Science,9J2M5U
864,Part Time,Pail,Radden,Computer Science,6Y8N5A
865,Correspondence,Woodrow,Kerford,Computer Science,2L8L8K
866,Part Time,Berke,Dearsley,Business Comp Sci,3Y3N8W
867,Part Time,Sergent,Heavens,Computer Engineering,3G0U3J
868,Correspondence,Harley,Shaw,Computer Science,1I6S4A
869,Full Time,Jacky,Cough,Business Comp Sci,4W2L0Q
870,Part Time,Robert,Obern,Business Comp Sci,5I6I1Z
871,Correspondence,Loren,Corbin,Business Comp Sci,4R6X0M
872,Part Time,Georg,Masselin,Computer Engineering,2Z2Y4K
873,Correspondence,Ambrosio,McManamen,Computer Engineering,6O6X5Y
874,Part Time,Rufus,Adamec,Computer Science,1B0Y0E
875,Correspondence,Jermaine,Allery,Computer Science,4M9W4U
876,Correspondence,Rockwell,Tott,Computer Engineering,6H5J5A
877,Correspondence,Hersch,Uzelli,Computer Science,2Y0M9N
878,Part Time,Simonette,Endicott,Business Comp Sci,4R4G2K
879,Full Time,Garth,O'Fihily,Computer Engineering,9D9C2E
880,Full Time,Tracie,Brudenell,Business Comp Sci,7N4P0M
881,Full Time,Jasen,Deinhard,Computer Science,5H2I0S
882,Part Time,Clarinda,Antecki,Business Comp Sci,5Z8Q7T
883,Correspondence,Tillie,Fisk,Computer Science,5D7H4G
884,Full Time,Brandy,Annwyl,Computer Engineering,4O0G8S
885,Correspondence,Kelsi,Stickells,Computer Engineering,4J1J4E
886,Full Time,Byran,Nickolls,Business Comp Sci,3E5T7H
887,Correspondence,Homerus,Carrigan,Computer Engineering,6E9B3E
888,Full Time,Emlyn,Geistmann,Computer Science,4Q6U7G
889,Part Time,Blaire,Carmel,Computer Science,5K9I2W
890,Part Time,Deck,Ricarde,Business Comp Sci,7Z6A7Q
891,Correspondence,Lizzy,Sullly,Business Comp Sci,3H2G6D
892,Part Time,Livvy,Maypes,Computer Science,5Z7D2W
893,Part Time,Elmira,Hairyes,Business Comp Sci,2N3S9B
894,Correspondence,Marta,Machin,Business Comp Sci,7M1B7K
895,Full Time,Germayne,Fourman,Business Comp Sci,5O5U7X
896,Correspondence,Devan,Grishmanov,Computer Science,4V8W8X
897,Part Time,Libby,Widdecombe,Computer Science,2F3D1W
898,Part Time,Pearline,Di Biagi,Business Comp Sci,9A0U9M
899,Full Time,Ara,Lotwich,Computer Engineering,7U6L6W
900,Full Time,Rancell,Chevalier,Business Comp Sci,7V8U7K
901,Full Time,Barbey,D'Costa,Computer Engineering,2Y8P4L
902,Full Time,Reynold,Chamberlaine,Computer Engineering,4X7J2Y
903,Full Time,Charo,Adamczewski,Computer Engineering,5Y8L0N
904,Full Time,Janot,Morrice,Computer Engineering,3Z0N9M
905,Full Time,Tobe,Snelle,Computer Science,0G3R6H
906,Part Time,Elsa,Asplin,Computer Science,4H0S8S
907,Part Time,Andi,Dyche,Business Comp Sci,5Q8R5K
908,Full Time,Cece,Francomb,Computer Engineering,9P1V1F
909,Full Time,Mel,Kitcher,Business Comp Sci,3V2A8W
910,Part Time,Berna,Wildblood,Business Comp Sci,7B4F3Z
911,Part Time,Quinlan,Loftin,Computer Science,1H1P9W
912,Full Time,Benita,Nerney,Computer Science,1O2Q1E
913,Part Time,Andris,Eades,Business Comp Sci,2Y1S9F
914,Correspondence,Kelly,Caughtry,Business Comp Sci,1K2T1E
915,Correspondence,Millie,Egglestone,Business Comp Sci,7N4H1F
916,Correspondence,Robbin,Fairpool,Business Comp Sci,3Y8X4N
917,Correspondence,Cortney,Josland,Business Comp Sci,7F9A2U
918,Full Time,Ira,Carlisle,Computer Science,0G7J0O
919,Correspondence,Clarke,Yaakov,Computer Science,8Z8W0K
920,Full Time,Cathee,Brownsmith,Business Comp Sci,5I4B8U
921,Full Time,Jasper,Littlekit,Computer Engineering,1J1A4C
922,Correspondence,Nester,Portt,Business Comp Sci,6Q1R0E
923,Correspondence,Annabela,Petrishchev,Computer Engineering,5G6K8U
924,Part Time,Sheena,Libri,Business Comp Sci,9R0I6S
925,Full Time,Carolee,Harkins,Business Comp Sci,4Q1J0K
926,Full Time,Robina,Naismith,Business Comp Sci,2R8J5M
927,Full Time,Lars,Valentin,Business Comp Sci,7I0V2D
928,Part Time,Galven,MacCrachen,Business Comp Sci,8V7Q2R
929,Correspondence,Findlay,Cruse,Computer Science,4T9K8E
930,Part Time,Mariann,Hayers,Computer Science,5M1D1F
931,Part Time,Chilton,Ropcke,Computer Science,8A1O2J
932,Full Time,Nicoli,Shawel,Computer Engineering,6U0S6N
933,Correspondence,Reena,Lusted,Computer Engineering,4E5K7T
934,Part Time,Toby,Cristol,Computer Science,7Z0P8C
935,Part Time,Ardeen,Yarham,Computer Science,0T4B9C
936,Full Time,Tait,Elcombe,Computer Engineering,1X1Z2U
937,Full Time,Jonie,Kabisch,Computer Engineering,4U0O0J
938,Correspondence,Lillis,Sager,Business Comp Sci,8D7P6T
939,Full Time,Phoebe,Aubri,Computer Engineering,7T4N7J
940,Correspondence,Hatti,Sydenham,Business Comp Sci,9Q9Z9Z
941,Correspondence,Fern,Brafield,Computer Engineering,7V0H0Z
942,Part Time,Zelda,McGibbon,Computer Engineering,0X6G4M
943,Full Time,Tom,Lycett,Computer Engineering,7J5N3T
944,Part Time,Mar,Straun,Business Comp Sci,8U2A9S
945,Correspondence,Dora,Fausch,Business Comp Sci,5A6M4B
946,Part Time,Desi,Greves,Computer Engineering,5V4G6V
947,Part Time,Minor,Kitteridge,Business Comp Sci,1G1I8V
948,Correspondence,Golda,Arbuckle,Computer Science,3Q0F7J
949,Full Time,Clarey,Rosenschein,Computer Engineering,0G6G7O
950,Correspondence,Gertrud,Tibald,Business Comp Sci,5A6K5U
951,Full Time,Alvin,Begg,Computer Science,3W4B0Z
952,Full Time,Randi,Fullicks,Computer Science,8W3Z2R
953,Correspondence,Reynold,Espinas,Computer Engineering,1G7Y2D
954,Correspondence,Bancroft,Phizacklea,Computer Science,1A6Y9G
955,Correspondence,Kinsley,Owthwaite,Computer Science,8H2U0K
956,Part Time,Lulita,Trimmill,Computer Science,2G0M8B
957,Part Time,Griff,Rosensaft,Business Comp Sci,6C0X0D
958,Part Time,Kristina,Seabridge,Computer Science,2I5M5J
959,Correspondence,Drusi,Cleall,Business Comp Sci,7B5S0S
960,Full Time,Lodovico,Aishford,Business Comp Sci,5B3K9S
961,Part Time,Hilde,Nardoni,Business Comp Sci,4F6Q5Z
962,Correspondence,Roberto,Thormann,Computer Science,9M9Q2T
963,Full Time,Lenci,Racine,Computer Science,0C0T6G
964,Part Time,Riane,Capewell,Computer Science,9B8X0P
965,Part Time,Joyous,Gorstidge,Computer Engineering,5H1U4I
966,Correspondence,Renate,Goodrich,Business Comp Sci,9S3X4R
967,Part Time,Anderea,Shine,Computer Science,7J5Q2B
968,Full Time,Linn,Epelett,Computer Engineering,5Z9K2V
969,Part Time,Betsy,Cashley,Computer Science,2E5F6E
970,Full Time,Salmon,Confait,Business Comp Sci,1H6P9A
971,Full Time,Brand,Bakeup,Computer Engineering,9W8J6R
972,Full Time,Laurel,Siberry,Computer Science,2T2N1N
973,Part Time,Ginevra,Sipson,Computer Science,9R3B8L
974,Full Time,Flossie,McKeon,Computer Science,3N3T1T
975,Part Time,Eddie,Dowda,Business Comp Sci,7X2D9C
976,Part Time,Diena,Huckabe,Computer Science,9O8H0F
977,Full Time,Abbey,Newark,Business Comp Sci,1Y8S6Q
978,Full Time,Bambi,Heningham,Business Comp Sci,4N4Y7K
979,Correspondence,Allie,Tolemache,Computer Engineering,9M4F4V
980,Part Time,Sig,Palfreyman,Computer Science,3C6N6D
981,Part Time,Cary,Youell,Business Comp Sci,9X6A3Q
982,Part Time,Emmalynne,Alfonzo,Computer Science,3X7T3E
983,Part Time,Blondie,Purchall,Computer Science,0T3X4D
984,Correspondence,Nealson,Boyd,Computer Engineering,6K4A2P
985,Correspondence,Lorri,Boland,Business Comp Sci,6W5I7C
986,Correspondence,Rhona,Drakard,Computer Engineering,6P4T4T
987,Correspondence,Nissy,Scobie,Computer Engineering,0F8O5J
988,Full Time,Ninnette,Hans,Computer Engineering,6M8G0K
989,Full Time,Kendre,Barritt,Business Comp Sci,1Y2H3J
990,Part Time,Truda,Leavy,Computer Science,4K0I1F
991,Part Time,Wolfy,Fenner,Computer Engineering,0V0X0I
992,Part Time,Bourke,Misson,Business Comp Sci,1J3T5F
993,Correspondence,Camille,Digle,Business Comp Sci,1P2L9P
994,Correspondence,Alon,Castle,Computer Science,6D7P0N
995,Part Time,Patty,Francie,Computer Engineering,0X4P6G
996,Full Time,Harp,McElhargy,Computer Science,1B0C5S
997,Part Time,Herc,Alexandrescu,Computer Engineering,1K2T8X
998,Correspondence,Nilson,Hasloch,Business Comp Sci,5I5J8N
999,Correspondence,Robinson,Plowes,Computer Science,1M9Z7K
1000,Correspondence,Jared,Sweynson,Computer Engineering,7B1I6B
